LOG_NO,"NOTIFIER, VENDOR",DESCRIPTION,REP_DATE,ACCESS_NO
94134,"NORTHEAST NUCLEAR ENERGY, EATON INDUSTRIES",FAILURES OF UNDERVOLTAGE MODULES USED IN ACCIDENT MITIGATION EQUIPMENT,05/05/1994,ml020950506
94135,BBC BROWN BOVERI,FAILURE OF TYPE 27N-R RELAY DUE TO CRACKING OF CAPACITOR,05/06/1994,9405120090
94136,"TENNESSEE VALLEY AUTHORITY, LIMITORQUE",FAILURE OF ANTI-ROTATION KEYS ON MOTOR OPERATED VALVES,02/22/1994,9403070369
94137,"WOLF CREEK NUCLEAR OPERATIONS, GOULD","POTENTIAL FOR TYPE 120 MB INDICATING LAMPS TO BLOW CONTROL POWER TRANSFORMER FUSES, RENDERING SAFETY SYSTEMS INOPERABLE",02/02/1994,9402100130
94138,GULF STATES UTILITIES,EXHAUST TORNADO DAMPERS FOR SEVERAL BUILDINGS WOULD NOT REOPEN FOLLOWING PASSAGE OF TORNADO AND LOSS OF OFFSITE POWER,10/22/1993,9310270200
94139,"COPES-VULCAN, PUBLIC SERVICE ELECTRIC AND GAS",REACTOR TRIP EVENT IN WHICH PRESSURIZER WAS TAKEN SOLID AND RELIEVED THROUGH POWER OPERATED RELIEF VALVES,04/07/1994,ml020910377
94140,"TENNESSEE VALLEY AUTHORITY, TRANSAMERICA DELAVAL",CRACKED WELDS ON DIESEL TURBOCHARGERS,04/01/1994,9404060138
94141,"COLTEC INDUSTRIES, NORTHERN STATES POWER",FAILURE OF TWO SUPPORT STUDS ON DISCHARGE PIPING BRACKET TO EMERGENCY DIESEL GENERATOR TURBOCHARGER FOR AIR INLET HOUSING,04/01/1994,9404120288
94142,"DIXSON, ENTERGY OPERATIONS, SAMTEC","DEFECT IN 11-PIN CONNECTOR IN ""PRO"" SERIES BARGRAPH INSTRUMENT, CAUSING LOSS OF FRONT-PANEL DISPLAY INFORMATION",05/10/1994,9405180070
94143,VELAN VALVE,RECEIPT OF UNDERSIZED REPLACEMENT ANTI-ROTATION KEYS FOR 6 INCH MOTOR OPERATED GLOBE VALVES,04/25/1994,0405050347
94144,"CHARTER POWER, POTTER AND BRUMFIELD, SOUTHERN CALIFORNIA EDISON",APPARENT DEFECT IN LATCHING MECHANISM OF R10-E3286-2 RELAYS USED IN CLASS IE BATTERY CHARGERS,05/11/1994,9405160026
94145,"EATON, NORTHEAST NUCLEAR ENERGY",FAILURES OF UNDERVOLTAGE MODULES USED IN ACCIDENT MITIGATION EQUIPMENT,05/10/1994,9405250227
94146,"COMMONWEALTH EDISON, TECHNO, PARKER HANNIFIN",FAILURE OF SECONDARY CONTAINMENT ISOLATION DAMPERS TO FULLY CLOSE DUE TO PNEUMATIC CYLINDER STICKING IN MID-STROKE,05/17/1994,9405260259
94147,"ARIZONA PUBLIC SERVICE, RAYCHEM",LACK OF PROPER FUSING OF ADHESIVE STRIP TO OUTER CASING OF SPLICE,04/25/1994,ml020930323
94148,"ARIZONA PUBLIC SERVICE,GENERAL ELECTRIC",REACTOR TRIP DUE TO NON-CLASS IE 4.16 KV SWITCHGEAR BUS LOAD SHED DUE TO INSUFFICIENT ELECTRICAL CONTACT IN A POTENTIAL TRANSFORMER,11/25/1993,9312090060
94149,"GENERAL PUBLIC UTILITIES, WHITING",IDENTIFICATION OF CASTING DEFECTS IN MAIN HOIST MOTOR TO GEAR BOX COUPLINGS OF TURBINE BUILDING CRANE AND REACTOR BUILDING CRANE,05/19/1994,ml020930330
94150,"CRANE VALVE, FLORIDA POWER CORPORATION",DATA SUPPLIED IN MID-1980'S FOR TORQUE SWITCHES IN MOTOR OPERATED VALVES MAY HAVE BEEN USED BEYOND INTENDED SCOPE,05/16/1994,9405200186
94151,"POWER AUTHORITY OF STATE OF NEW YORK,COPES-VULCAN",DEFECTIVE THREADS IN SPRING ADJUSTING NUT FOR AIR OPERATED ACTUATOR OF POWER OPERATED RELIEF VALVE,05/25/1994,9406290263
94152,"WASHINGTON PUBLIC POWER, GENERAL ELECTRIC",DEGRADATION OF DIAPHRAGMS IN SCRAM SOLENOID PILOT VALVES AFTER 4 YEARS OF SERVICE,05/26/1994,9406060198
94153,"FLORIDA POWER CORPORATION, LIMITORQUE",NONRELEASE OF BRAKES ON VALVE OPERATORS IN UNDERVOLTAGE CONDITION,05/02/1994,9405180436
94154,"COMMONWEALTH EDISON, GENERAL ELECTRIC",SIGNIFICANT TRANSIENT DUE TO AUTOMATIC TRIP OF AUXILIARY TRANSFORMER AS RESULT OF WATER INTRUSION TO 4.1 KV DUCTWORK,10/12/1993,9310210020
94155,"NORTHEAST NUCLEAR ENERGY, TARGET ROCK, WYLE LABORATORIES",LIFT OF SIX SAFETY RELIEF VALVES EXCEEDED TECHNICAL SPECIFICATIONS,03/29/1994,ml020910379
94156,"ENTERGY OPERATIONS, AUTOMATIC SWITCH COMPANY, GENERAL ELECTRIC",CONTROL ROD TESTING SHOWED 21 OF 99 RODS WITH SLOW INSERTION TIMES BUT WITHIN TECHNICAL SPECIFICATIONS,06/01/1994,ml020950493
94157,"COOPER ENERGY, HOUSTON LIGHTING AND POWER, COMMONWEALTH EDISON",FAILURE OF STUDS ON FUEL INJECTION PUMP,06/02/1994,9406080209
94158,"ILLINOIS POWER, MORRISON-KNUDSEN,BASLER ELECTRIC",INCORRECT INTERNAL CONNECTIONS IN MOTOR OPERATED POTENTIOMETER USED TO CONTROL EMERGENCY DEISEL GENERATOR OUTPUT VOLTAGE,06/06/1994,9406100322
94159,"NORTH ATLANTIC ENERGY SERVICES, WESTINGHOUSE",LOOSE PARTS IN REACTOR VESSEL,06/09/1994,ml020910381
94160,"TENNESSEE VALLEY AUTHORITY,DRESSER INDUSTRIES",CENTRIFUGAL CHARGING PUMP EXCEEDED CURVES FOR BOTH HEAD AND FLOW IN TESTING,05/19/1994,9406020289
94161,"VERMONT YANKEE, GENERAL ELECTRIC",SMALL ELECTRICAL FIRE IN CABINET DUE TO OVERHEATING OF CR120A RELAY COIL,05/31/1994,ml020930337
94162,ROSEMOUNT,MODEL 1153 SERIES F NUCLEAR QUALIFIED PRESSURE TRANSMITTER ANOMALOUS OUTPUT DURING OVERPRESSURE EVENT,05/27/1994,9406090089
94163,"DEPARTMENT OF ENERGY, BBC BROWN BOVERI",TEST FAILURE OF LK-16 CIRCUIT BREAKER TO OPEN,05/20/1994,ml020870055
94164,"TENNESSEE VALLEY AUTHORITY, INGERSOLL-RAND",MECHANICAL BINDING O F RESIDUAL HEAT REMOVAL PUMP DURING PREOPERATIONAL TESTING,06/17/1994,ml020870059
94165,BOSTON EDISON,TEN PERCENT INCREASE IN SCRAM TIMES FOR FIRST 17 RODS TESTED; ONE ROD FAILED TO INSERT WITHIN 7 SECONDS,06/20/1994,9406220078
94166,"BORG-WARNER, ENERTECH",DELIVERY OF UNQUALIFIED SEALS FOR VALVE HYDRAULIC OPERATOR ACCUMULATORS AND CYLINDERS,06/22/1994,9406280210
94167,BOEING COMPUTER SERVICES,ANSYS SOFTWARE ERROR,06/14/1994,9406220340
94168,WHITTAKER,INADEQUATE SENSITIVITY OF HYDROGEN SENSORS IN CONTAINMENT ATMOSPHERE MONITORING SYSTEM,06/09/1994,9406170260
94169,"NORTHEAST NUCLEAR ENERGY, BUSSMANN","TYPE KTK, 120 VAC, 5 AMP FUSES WITH DATE CODE V-303 COULD OPEN UNEXPECTEDLY DUE TO LACK OF COLD SOLDER JOINTS",06/24/1994,ml020910383
94170,"BORG-WARNER, ENERTECH",DELIVERY OF UNQUALIFIED SEALS FOR VALVE HYDRAULIC OPERATOR ACCUMULATORS AND CYLINDERS,06/27/1994,9407070259
94171,"ILLINOIS POWER, WESTINGHOUSE, BBC BROWN BOVERI",FAILURE OF CV-2 RELAY TELEPHONE COIL EMERGENCY DEISEL GENERATOR OUTPUT CIRCUIT BREAKER,06/27/1994,9407050205
94172,"WOLF CREEK NUCLEAR OPERATIONS, WESTINGHOUSE",DEPARTURE FROM NUCLEATE BOILING PENALTY UP TO 16.5 PERCENT ON NEW FUEL DUE TO COOLANT FLOW EFFECTS FROM ROTATION OF GRID STRAPS,06/28/1994,ml020930341
94173,"CLEVELAND ELECTRIC ILLUMINATING, CONTROMATICS, ANCHOR/DARLING",INADEQUATE SEATING TORQUE IN BUTTERFLY ISOLATION MOTOR OPERATED VALVES DURING TESTING,06/28/1994,ml020910388
94174,"ARIZONA PUBLIC SERVICE, RAYCHEM",LACK OF THOROUGH MELTING OF RIBBON ADHESIVE FOR HEAT SHRINKABLE MOTOR SPLICE,06/07/1994,9406150118
94175,"SACM DIESEL, COMMONWEALTH EDISON",SAFETY RELATED SPARE EMERGENCY DEISEL GENERATOR PARTS DETERMINED TO BE NONSAFETY COMMERCIAL GRADE COMPONENTS,06/30/1994,9407120151
94176,"PUBLIC SERVICE ELECTRIC AND GAS, WESTINGHOUSE",DEFECT IN HIGH STEAM FLOW SIGNAL SUMMERS PM-505B/PM-506B DURING RECOVERY FROM LOST POWER,06/30/1994,9407120141
94177,AUTOMATIC SWITCH COMPANY,DEGRADATION OF NYOGEL 775A LUBRICANT ON SEAT AND DISC OF SINGLE SOLENOID 4-WAY VALVES,07/07/1994,9407140195
94178,"AUTOMATIC SWITCH COMPANY, NEBRASKA PUBLIC POWER DISTRICT, FLORIDA POWER AND LIGHT",DEGRADATION OF NYOGEL 775A LUBRICANT ON SEAT AND DISC OF SINGLE SOLENOID 4-WAY VALVES,07/07/1994,9407130091
94179,"CONNECTICUT YANKEE ATOMIC POWER, WESTINGHOUSE",HIGH BEARING TEMPERATURE ON REACTOR COOLANT PUMP DUE TO FIRE FROM FAILURE OF POLYVINYL CHLORIDE COUPLING IN LUBRICATING OIL COLLECTION SYSTEM,07/11/1994,ml020910447
94180,"TENNESSEEVALLEY AUTHORITY, RELIANCE ELECTRIC",DELIVERY OF FOUR INCORRECT CONTAINMENT LOWER COMPARTMENT COOLER MOTORS AND FAILURE OF ROTOR SHAFT WELD JOINING ROTOR LAMINATION PACK,06/20/1994,9407010062
94181,"NEW YORK POWER AUTHORITY, FISHER CONTROLS",TYPE 3570 SERIES POSITIONERS WITH TYPE 472/473 SPRING RETURN PISTON ACTUATORS,06/27/1994,9407010252
94182,"TENNESSEE VALLEY AUTHORITY, GENERAL ELECTRIC","PIN CONNECTING TRIP COIL LINK TO CRANK IN MAGNE-BLAST CIRCUIT BREAKER DROPPED OUT, CAUSING TRIPPING MECHANISM TO BECOME INOPERABLE",05/09/1994,9407190020
94183,"CONSOLIDATED EDISON, AURORA PUMP, LAYNE AND BOWLER",FAILURE OF SHAFT COUPLINGS IN SERVICE WATER PUMPS,06/30/1994,ml020930345
94184,"ENTERGY OPERATIONS, AUTOMATIC SWITCH COMPANY, GENERAL ELECTRIC",SCRAM TIMES FOR TWO CONTROL RODS EXCEED TECHNICAL SPECIFICATIONS,06/22/1994,9406290013
94185,"PUBLIC SERVICE ELECTRIC AND GAS, COPES-VULCAN",REACTOR TRIP EVENT IN WHICH PRESSURIZER WAS TAKEN SOLID AND RELIEVED THROUGH POWER OPERATED RELIEF VALVES,07/14/1994,9407210139
94186,"FLORIDA POWER AND LIGHT,GENERAL ELECTRIC",TEST FAILURE OF AK-2-25 CIRCUIT BREAKER TO OPEN,07/14/1994,ml020930349
94187,"DETROIT EDISON,P. R. SUSSMAN, THERMAL SCIENCE",INSTALLATION OF THERMO-LAG FIRE BARRIERS,07/15/1994,9407210126
94188,"WASHINGTON PUBLIC POWER, WESTINGHOUSE, IMAGING AND SENSING TECHNOLOGY",CORROSION OF CONDUCTORS INTERNAL TO STRAIN RELIEF MATERIAL IN CONTAINMENT PENETRATION MODULES,07/15/1994,9407210170
94189,STATIC O-RING,"POTENTIAL LEAKAGE IN CONDUIT SEALS OF CERTAIN PRESSURE, VACUUM, AND TEMPERATURE SWITCHES",06/10/1994,9406290240
94190,"NEW YORK POWER AUTHORITY, COPES-VULCAN",DEFECTIVE THREADS IN SPRING ADJUSTING NUT FOR AIR OPERATED ACTUATOR OF POWER OPERATED RELIEF VALVE,06/22/1994,9406290263
94191,"NORTHEAST NUCLEAR ENERGY, BUSSMANN, DEPARTMENT OF ENERGY","TYPE KTK, 120 VAC, 5 AMP FUSES WITH DATE CODE V-303 COULD OPEN UNEXPECTEDLY DUE TO LACK OF COLD SOLDER JOINTS",06/24/1994,ml020870061
94192,"INTERSTATE STEEL SUPPLY, NEW YORK POWER AUTHORITY, PHILADELPHIA ELECTRIC",PURCHASE AND RECEIPT OF SEISMIC CATEGORY I PIPING FROM UNQUALIFIED VENDOR,07/12/1994,9407200190
94193,"NEW YORK POWER AUTHORITY, COPES-VULCAN, WESTINGHOUSE",REVISED VALUES FOR WEIGHTS AND CENTER OF GRAVITY OF SEVERAL VALVES,07/11/1994,9407180154
94194,"COMMONWEALTH EDISON,COPES-VULCAN, ERIE FASTENER AND INDUSTRIAL SUPPLY",RECEIPT OF CRACKED BODY TO BONNET NUTS FOR AIR OPERATED VALVES,07/22/1994,9407270223
94195,"WASHINGTON PUBLIC POWER, WESTINGHOUSE, IMAGING AND SENSING TECHNOLOGY",CORROSION OF CONDUCTORS INTERNAL TO STRAIN RELIEF MATERIAL IN CONTAINMENT PENETRATION MODULES,07/22/1994,9407270103
94196,"NEBRASKA PUBLIC POWER DISTRICT, GENERAL ELECTRIC",DEGRADATION OF LEXAN CAM FOLLOWER IN TYPE SBM SWITCHES MANUFACTURED BEFORE JANUARY 1976,07/26/1994,ml020870065
94197,"OMAHA PUBLIC POWER DISTRICT, BBC BROWN BOVERI, OHMITE",LACK OF COMPATIBILITY OF PARTS IN MODEL CU1021 AND CU1031 POTENTIOMETER AND MODEL CS-1 SWITCHES,07/26/1994,9407280238
94198,"OMAHA PUBLIC POWER DISTRICT, BBC BROWN BOVERI, OHMITE",LACK OF COMPATIBILITY OF PARTS IN MODEL CU1021 AND CU1031 POTENTIOMETER AND MODEL CS-1 SWITCHES,06/21/1994,9406290078
94199,"TENNESSEE VALLEY AUTHORITY, TELEMECANIQUE",MALFUNCTION OF THERMAL OVERLOAD RELAYS,07/15/1994,9407260232
94200,"BOSTON EDISON, GENERAL ELECTRIC, AUTOMATIC SWITCH COMPANY",TEN PERCENT INCREASE IN SCRAM TIMES FOR FIRST 17 RODS TESTED; ONE ROD FAILED TO INSERT WITHIN 7 SECONDS,07/15/1994,9407210244
94201,TWO INDIVIDUALS,DESIGN FOR A LOSS OF NORMAL SPENT FUEL POOL COOLING FAILS TO MEET NRC REQUIREMENTS,05/25/1994,9406220405
94202,BORG-WARNER,CLOSING STEM THRUST GREATER THAN DESIGN VALUE FOR 6-INCH MOTOR OPERATED 900 POUNDS PER SQUARE INCH Y-GLOBE VALVE,07/27/1994,9408030190
94203,"IMAGING AND SENSING TECHNOLOGY, WESTINGHOUSE, WASHINGTON PUBLIC POWER",CORROSION OF CONDUCTORS INTERNAL TO STRAIN RELIEF MATERIAL IN CONTAINMENT PENETRATION MODULES,07/15/1994,0407200186
94204,"COMMONWEALTH EDISON, SACM DIESEL",SAFETY RELATED SPARE EMERGENCY DEISEL GENERATOR PARTS DETERMINED TO BE NONSAFETY COMMERCIAL GRADE COMPONENTS,07/08/1994,9407150145
94205,TWO INDIVIDUALS,DESIGN FOR A LOSS OF NORMAL SPENT FUEL POOL COOLING FAILS TO MEET NRC REQUIREMENTS,06/17/1994,9406220416
94206,"NUCLEAR REGULATORY COMMISSION, PHILADELPHIA ELECTRIC, CUTLER-HAMMER","TIME ARMATURE RELAYS, MODELS 583 AND 687, FOR VARIOUS PUMPS AND VALVES HAVE LOOSE AUXILIARY CONTACTS",07/28/1994,ml020930354
94207,"NORTHEAST NUCLEAR ENERGY, WESTINGHOUSE",HIGH BEARING TEMPERATURE ON REACTOR COOLANT PUMP DUE TO FIRE FROM FAILURE OF POLYVINYL CHLORIDE COUPLING IN LUBRICATING OIL COLLECTION SYSTEM,07/29/1994,ml020930362
94208,"GENERAL ELECTRIC, AUTOMATIC SWITCH COMPANY",TEN PERCENT INCREASE IN SCRAM TIMES FOR FIRST 17 RODS TESTED; ONE ROD FAILED TO INSERT WITHIN 7 SECONDS,07/25/1994,9408040390
94209,"SOUTHERN CALIFORNIA EDISON, METER DEVICES",FAILURE OF EMERGENCY DEISEL GENERATOR ROTO TEST SWITCH DUE TO SHEARING OF SWITCH CONNECTIONS BY BOLT HEAD,08/02/1994,ml020930368
94210,"ENTERGY OPERATIONS, GENERAL ELECTRIC, AUTOMATIC SWITCH COMPANY",TEN PERCENT INCREASE IN SCRAM TIMES FOR FIRST 17 RODS TESTED; ONE ROD FAILED TO INSERT WITHIN 7 SECONDS,07/22/1994,9408010218
94211,"CAROLINA POWER AND LIGHT, OMHITE",LACK OF COMPATIBILITY OF PARTS IN MODEL CU1021 AND CU1031 POTENTIOMETER AND MODEL CS-1 SWITCHES,07/28/1994,9408020124
94212,"TOLEDO EDISON, DRESSER INDUSTRIES, GIMPEL MACHINE WORKS",FAILURE OF AUXILIARY FEEDWATER PUMP TURBINE TRIP AND THROTTLE VALVE TO OPEN,08/05/1994,9408150215
94213,"UNIVERSITY OF VIRGINIA, NUCLEAR RESEARCH",DEFECT IN COMMUNICATION LINK BETWEEN READOUT MODULE AND DETECTOR IF SEPARATED BY MORE THAN 20 FEET,07/28/1994,9408030290
94214,"WISCONSIN ELECTRIC, WESTINGHOUSE, CALDON",UNDERESTIMATION OF FEEDWATER FLOW DUE TO WEAK SIGNALS FROM MODEL 601 LEFM TRANSDUCERS,07/29/1994,9408020156
94215,"PUBLIC SERVICE ELECTRIC AND GAS, WESTINGHOUSE",DEFECT IN HIGH STEAM FLOW SIGNAL SUMMERS PM-505B/PM-506B DURING RECOVERY FROM LOST POWER,07/27/1994,9408040402
94216,"TOLEDO EDISON, DRESSER INDUSTRIES",FAILURE OF AUXILIARY FEEDWATER PUMP TURBINE TRIP AND THROTTLE VALVE TO OPEN,08/10/1994,ml020930370
94217,VELAN VALVE,RECEIPT OF UNDERSIZED REPLACEMENT ANTI-ROTATION KEYS FOR 6 INCH MOTOR OPERATED GLOBE VALVES,08/11/1994,9408170261
94218,"BABCOCK AND WILCOX,DUKE POWER, GENERAL PUBLIC UTILITIES","DURING POSTULATED CORE FLOOD LINE LOSS OF COOLANT ACCIDENT, REACTOR CAVITY SEAL PLATE COULD INTERACT WITH CONTROL ROD DRIVE MECHANISM SUPPORT STRUCTURE TO INTERFERE WITH ROD INSERTION AND VIOLATE PRESSURE BOUNDARY",04/04/1994,ml020870069
94219,"CONNECTICUT YANKEE ATOMIC POWER, WESTINGHOUSE","IN LARGE BREAK LOSS OF COOLANT ACCIDENT, PEAK CLAD TEMPERATURE WOULD EXCEED 2200 F UNDER CURRENTLYALLOWED RADIAL PEAK FACTOR OF 1.6",08/17/1994,ml020910453
94220,"COLTEC INDUSTRIES, BALTIMORE GAS AND ELECTRIC",TEST RESULT OF ACCELERATED WEAR OF FUEL INJECTION EROSION SLEEVES ON EMERGENCY DIESEL CYLINDER,07/20/1994,9407270211
94221,"NIAGARA MOHAWK POWER, MASTER SPECIALTIES",FAILURE OF PUSHBUTTON TEST SWITCH IN LOAD UNBALANCE TRIP CIRCUIT OF TURBINE ELECTROHYDRAULIC CONTROL SYSTEM,06/10/1994,9406200077
94222,"CAROLINA POWER AND LIGHT, ROCKWELL INTERNATIONAL",EXCESSIVE LEAKAGE OF MAIN STEAM ISOLATION VALVES,06/23/1994,9407050069
94223,"NORTHEAST NUCLEAR ENERGY, BERGEN-PATERSON PIPE",SLOW LEAKAGE OF FLUID IN HYDRAULIC SNUBBERS,02/01/1994,9402100074
94224,"TENNESSEE VALLEY AUTHORITY, WHITAKER",MALFUNCTIONS OF ELECTROMECHANICAL CONTROL ROD STEP DEMAND COUNTERS,02/22/1994,9403090065
94225,"CAROLINA POWER AND LIGHT, SIEMENS POWER",LOCATION OF GADOLINIA PINS IN FUEL ASSEMBLY IN CORE DIFFERENT FROM DESIGN SPECIFICATION,12/17/1993,9401040023
94226,"TENNESSEE VALLEY AUTHORITY, ELLIS AND WATTS",CONDENSERS DESIGNED TO LOWER THAN SYSTEM OPERATING PRESSURE IN 25 TON WATER COOLED AIR CONDITIONING UNITS,08/23/1994,ml020870073
94227,"DETROIT EDISON, THERMAL SCIENCE,P. R. SUSSMAN",IMPROPER INSTALLATION OF THERMO-LAG FIRE BARRIERS,08/15/1994,9408240221
94228,"ELLIS AND WATTS, TENNESSEE VALLEY AUTHORITY",CONDENSERS DESIGNED TO LOWER THAN SYSTEM OPERATING PRESSURE IN 25 TON WATER COOLED AIR CONDITIONING UNITS,08/29/1994,9409090045
94229,BOEING COMPUTER SERVICES,GTSTRUDL SOFTWARE ERROR,07/26/1994,9408030325
94230,BOEING COMPUTER SERVICES,GTSTRUDL SOFTWARE ERROR,07/26/1994,9408030327
94231,COOPER ENERGY,FAILURE OF STUDS ON FUEL INJECTION PUMP,08/09/1994,9409060173
94232,"COMMONWEALTH EDISON, COOPER ENERGY,NORAL",MISSING 3 OF 18 THERMOCOUPLE CRIMPS IN EMERGENCY DEISEL GENERATOR EXHAUST SYSTEM,08/30/1994,ml020930374
94233,"SACM DIESEL, COMMONWEALTH EDISON",SAFETY RELATED SPARE EMERGENCY DEISEL GENERATOR PARTS DETERMINED TO BE NONSAFETY COMMERCIAL GRADE COMPONENTS,08/18/1994,9408250233
94234,"PACIFIC GAS AND ELECTRIC, WESTINGHOUSE, EXIDE",ELEVATED VOLTAGE CONDITION ON BATTERY CHARGER DUE TO UNSOLDERED COMPONENT IN PRINTED CIRCUIT BOARD,08/31/1994,ml020910457
94235,"DUQUESNE LIGHT, WESTINGHOUSE",FAULT IN SOLID STATE PROTECTION SYSTEM TESTER,09/01/1994,ml020910464
94236,"COMMONWEALTH EDISON, COOPER ENERGY",OVERSTRESSED EMERGENCY DEISEL GENERATOR SHAFT THAT SUPPORTS SPEED SENSING MAGNETIC PICKUP,08/11/1994,9410180113
94237,"VIRGINIA ELECTRIC AND POWER,TERRY TURBINE, DRESSER INDUSTRIES",EXCESSIVE NUMBER OF AUXILIARY FEEDWATER PUMP OVERSPEED TRIPS DUE TO GOVERNOR VALVE STEM BINDING,09/02/1994,9409150039
94238,"DUQUENSE LIGHT, WESTINGHOUSE",FAULT IN SOLID STATE PROTECTION SYSTEM TESTER,09/01/1994,9409140079
94239,"FLORIDA POWER AND LIGHT,AUTOMATIC SWITCH COMPANY",DEGRADATION OF NYOGEL 775A LUBRICANT ON SEAT AND DISC OF SINGLE SOLENOID 4-WAY VALVES,01/19/1994,9408040239
94240,"CHARTER POWER SYSTEMS, POTTER AND BRUMFIELD, SOUTHERN CALIFORNIA EDISON",APPARENT DEFECT IN LATCHING MECHANISM OF R10-E3286-2 RELAYS USED IN CLASS IE BATTERY CHARGERS,09/07/1994,9409150071
94241,"COOPER ENERGY, COMMONWEALTH EDISON",OVERSTRESSED EMERGENCY DEISEL GENERATOR SHAFT THAT SUPPORTS SPEED SENSING MAGNETIC PICKUP,09/09/1994,9409190076
94242,"COOPER ENERGY, COMMONWEALTH EDISON, NORAL",MISSING 3 OF 18 THERMOCOUPLE CRIMPS IN EMERGENCY DEISEL GENERATOR EXHAUST SYSTEM,09/09/1994,9409130423
94243,BBC BROWN BOVERI,IRRADIATION TESTING RESULTS FOR TYPE 27N RELAYS; DEGRADATION FOUND ABOVE TOTAL DOSE OF 1000 RADS GAMMA,07/28/1994,9408190160
94244,"TENNESSEE VALLEY AUTHORITY, GENERAL ELECTRIC",PIN CONNECTING TRIP COIL LINK TO CRANK OF MAGNE-BLAST 6.9 KV CIRCUIT BREAKER FELL OUT,08/06/1994,9408170073
94245,"PACIFIC GAS AND ELECTRIC, WESTINGHOUSE",FAILURE OF POWER SUPPLIES USED IN EAGLE-21 REACTOR PROTECTION SYSTEM DUE TO CAPACITOR FAILURE,09/07/1994,ml020930380
94246,"OMAHA PUBLIC POWER DISTRICT, BBC BROWN BOVERI, OMHITE",LACK OF COMPATIBILITY OF PARTS IN MODEL CU1021 AND CU1031 POTENTIOMETER AND MODEL CS-1 SWITCHES,08/24/1994,9409060293
94247,COOPER ENERGY,CRACKING IN SUBCOVER WHERE INTAKE AND EXHAUST ROCKER SHAFTS ARE MOUNTED,08/29/1994,ml020870076
94248,GEORGIA POWER,FAILURE OF AUTOMATIC RESET FUNCTION IN CONTROL RELAYS EMERGENCY FILTRATION SYSTEM HEATER POWER,07/14/1994,9407190017
94249,"NUCLEAR REGULATORY COMMISSION, DUQUESNE LIGHT, DRESSER INDUSTRIES","FOR CHARGING PUMP HOLD DOWN BOLT TORQUE, VENDOR MANUAL STATES 80 FOOT-POUNDS WHEREAS VENDOR DRAWING SHOWS 450 FOOT-POUNDS",09/12/1994,ml020870077
94250,WESTINGHOUSE,POTENTIAL RETURN TO CRITICALITY DUE TO REVERSE FLUSHING OF CORE DURING LONG TERM CORE COOLING FOLLOWING LOSS OF COOLANT ACCIDENT,08/22/1994,9409070277
94251,"SOUTHERN CALIFORNIA EDISON, DRESSER INDUSTRIES",FAILURE OF AUXILIARY FEEDWATER PUMP TURBINE TRIP AND THROTTLE VALVE TO OPEN,09/19/1994,ml020930385
94252,"NORTH ATLANTIC ENERGY SERVICES, JOHNSTON PUMP, CALIFORNIA NUT AND BOLT",CORRODED FLANGE BOLTS ON SERVICE WATER PUMP LOCATED IN COOLING TOWER BASIN,09/19/1994,ml020930388
94253,BOEING COMPUTER SERVICES,GTSTRUDL SOFTWARE ERROR,08/25/1994,9409010147
94254,"CRANE, DUQUESNE LIGHT,NORTHERN STATES POWER","FAILURE OF WELDS JOINING YOKE, ADAPTER PLATE, AND OTHER PARTS OF 10 INCH VALVE DUE TO ERRONEOUS INSTALLATION OF SHIMS",08/23/1994,9409140324
94255,"TENNESSEE VALLEY AUTHORITY, INGERSOLL-RAND",RESIDUAL HEAT REMOVAL PUMP IMPELLER WELDED TO CASING RING DURING OPERATION,08/12/1994,9408220182
94256,"NUCLEAR RESEARCH, UNIVERSITY OF VIRGINIA",DEFECT IN COMMUNICATION LINK BETWEEN READOUT MODULE AND DETECTOR IF SEPARATED BY MORE THAN 20 FEET,08/26/1994,9409120326
94257,"MORRISON- KNUDSEN,BASLER ELECTRIC, ILLINOIS POWER",INCORRECT INTERNAL CONNECTIONS IN MOTOR OPERATED POTENTIOMETER USED TO CONTROL EMERGENCY DEISEL GENERATOR OUTPUT VOLTAGE,08/18/1994,9409130386
94258,WESTINGHOUSE,STANDARD AXIAL NODALIZATION USED IN SMALL BREAK LOSS OF COOLANT TRASIENT ANALYSIS (SBLOCTA) CODE,04/14/1994,9404190350
94259,WESTINGHOUSE,STANDARD AXIAL NODALIZATION USED IN SMALL BREAK LOSS OF COOLANT TRASIENT ANALYSIS (SBLOCTA) CODE,09/21/1994,9409270342
94260,WESTINGHOUSE,CERTAIN REACTOR COOLANT PUMP SUPPORT COLUMNS MAY BE TILTED BEYOND DESIGN,09/19/1994,9409270102
94261,"ARIZONA PUBLIC SERVICE, AMERICAN TELEPHONE AND TELEGRAPH","DEGRADED 125 VOLT BATTERY MODEL L-1SH ROUND CELLS, INSTALLED IN MAY 1993",10/04/1994,ml020930395
94262,GIMPEL MACHINE WORKS,FAILURE OF AUXILIARY FEEDWATER PUMP TURBINE TRIP AND THROTTLE VALVE TO OPEN,08/30/1994,9409150014
94263,"TENNESSEE VALLEY AUTHORITY, ELLIS AND WATTS",CONDENSERS DESIGNED TO LOWER THAN SYSTEM OPERATING PRESSURE IN 25 TON WATER COOLED AIR CONDITIONING UNITS,09/20/1994,9409290286
